evo_line,phage,rep,sp,time,dil,dil_fact,froz,count,type
C,N,1,P,T8,10000,33.33333333,2,162,comm
C,N,2,P,T8,10000,33.33333333,2,138,comm
C,N,3,P,T8,10000,33.33333333,2,128,comm
C,N,4,P,T8,10000,33.33333333,2,122,comm
C,N,5,P,T8,10000,33.33333333,2,106,comm
C,N,6,P,T8,10000,33.33333333,2,80,comm
C,N,1,V,T8,10000,33.33333333,2,120,comm
C,N,2,V,T8,10000,33.33333333,2,96,comm
C,N,3,V,T8,10000,33.33333333,2,114,comm
C,N,4,V,T8,10000,33.33333333,2,130,comm
C,N,5,V,T8,10000,33.33333333,2,96,comm
C,N,6,V,T8,10000,33.33333333,2,106,comm
C,N,1,O,T8,10000,33.33333333,2,72,comm
C,N,2,O,T8,10000,33.33333333,2,64,comm
C,N,3,O,T8,10000,33.33333333,2,66,comm
C,N,4,O,T8,10000,33.33333333,2,96,comm
C,N,5,O,T8,10000,33.33333333,2,80,comm
C,N,6,O,T8,10000,33.33333333,2,180,comm
CP,Y,1,P,T8,10000,33.33333333,2,76,comm
CP,Y,2,P,T8,10000,33.33333333,2,132,comm
CP,Y,3,P,T8,10000,33.33333333,2,128,comm
CP,Y,4,P,T8,10000,33.33333333,2,88,comm
CP,Y,5,P,T8,10000,33.33333333,2,74,comm
CP,Y,6,P,T8,10000,33.33333333,2,76,comm
CP,Y,1,V,T8,10000,33.33333333,2,132,comm
CP,Y,2,V,T8,10000,33.33333333,2,136,comm
CP,Y,3,V,T8,10000,33.33333333,2,176,comm
CP,Y,4,V,T8,10000,33.33333333,2,126,comm
CP,Y,5,V,T8,10000,33.33333333,2,92,comm
CP,Y,6,V,T8,10000,33.33333333,2,116,comm
CP,Y,1,O,T8,10000,33.33333333,2,122,comm
CP,Y,2,O,T8,10000,33.33333333,2,42,comm
CP,Y,3,O,T8,10000,33.33333333,2,80,comm
CP,Y,4,O,T8,10000,33.33333333,2,120,comm
CP,Y,5,O,T8,10000,33.33333333,2,104,comm
CP,Y,6,O,T8,10000,33.33333333,2,128,comm
O,N,1,O,T8,10000,33.33333333,2,360,mono
O,N,2,O,T8,10000,33.33333333,2,424,mono
O,N,3,O,T8,10000,33.33333333,2,438,mono
O,N,4,O,T8,10000,33.33333333,2,264,mono
O,N,5,O,T8,10000,33.33333333,2,272,mono
O,N,6,O,T8,10000,33.33333333,2,100,mono
OP,Y,1,O,T8,10000,33.33333333,2,360,mono
OP,Y,2,O,T8,10000,33.33333333,2,644,mono
OP,Y,3,O,T8,10000,33.33333333,2,416,mono
OP,Y,4,O,T8,10000,33.33333333,2,496,mono
OP,Y,5,O,T8,10000,33.33333333,2,384,mono
OP,Y,6,O,T8,10000,33.33333333,2,552,mono
